	learning rate	gracePeriodPerLayer	mci	adwin-delta	globalGracePeriod	accuracy	amount of hidden layers	amount of active layers	overall time	classifier	amount of instances	run id	path	stream
0	0.05		1e-05	0.1	1	60.6	32	6	10.947041401	ADLClassifierWithWinningLayerTrainingWithoutForLoopWithGraphRecord	2000.0	3	results/runs/runID=3/classifier=ADLClassifierWithWinningLayerTrainingWithoutForLoopWithGraphRecord_adwin-delta=0.1_lr=0.05_MCICutOff=1e-05_globalGracePeriod=1/electricity_tiny	electricity_tiny
1	0.05		1e-05	0.1	2	47.449999999999996	21	4	9.841066902	ADLClassifierWithWinningLayerTrainingWithoutForLoopWithGraphRecord	2000.0	3	results/runs/runID=3/classifier=ADLClassifierWithWinningLayerTrainingWithoutForLoopWithGraphRecord_adwin-delta=0.1_lr=0.05_MCICutOff=1e-05_globalGracePeriod=2/electricity_tiny	electricity_tiny
2	0.05		1e-05	0.1	4	60.6	32	6	10.853777415	ADLClassifierWithWinningLayerTrainingWithoutForLoopWithGraphRecord	2000.0	3	results/runs/runID=3/classifier=ADLClassifierWithWinningLayerTrainingWithoutForLoopWithGraphRecord_adwin-delta=0.1_lr=0.05_MCICutOff=1e-05_globalGracePeriod=4/electricity_tiny	electricity_tiny
3	0.05		1e-05	0.1	8	47.449999999999996	21	4	9.834616082	ADLClassifierWithWinningLayerTrainingWithoutForLoopWithGraphRecord	2000.0	3	results/runs/runID=3/classifier=ADLClassifierWithWinningLayerTrainingWithoutForLoopWithGraphRecord_adwin-delta=0.1_lr=0.05_MCICutOff=1e-05_globalGracePeriod=8/electricity_tiny	electricity_tiny
4	0.05		1e-05	0.1	16	60.6	32	6	10.719694918	ADLClassifierWithWinningLayerTrainingWithoutForLoopWithGraphRecord	2000.0	3	results/runs/runID=3/classifier=ADLClassifierWithWinningLayerTrainingWithoutForLoopWithGraphRecord_adwin-delta=0.1_lr=0.05_MCICutOff=1e-05_globalGracePeriod=16/electricity_tiny	electricity_tiny
5	0.05		1e-05	0.1	32	47.449999999999996	21	4	9.952607825	ADLClassifierWithWinningLayerTrainingWithoutForLoopWithGraphRecord	2000.0	3	results/runs/runID=3/classifier=ADLClassifierWithWinningLayerTrainingWithoutForLoopWithGraphRecord_adwin-delta=0.1_lr=0.05_MCICutOff=1e-05_globalGracePeriod=32/electricity_tiny	electricity_tiny
6	0.05		1e-05	0.1	64	60.6	32	6	10.767127547	ADLClassifierWithWinningLayerTrainingWithoutForLoopWithGraphRecord	2000.0	3	results/runs/runID=3/classifier=ADLClassifierWithWinningLayerTrainingWithoutForLoopWithGraphRecord_adwin-delta=0.1_lr=0.05_MCICutOff=1e-05_globalGracePeriod=64/electricity_tiny	electricity_tiny
7	0.05		1e-05	0.1	128	47.449999999999996	21	4	9.88087913	ADLClassifierWithWinningLayerTrainingWithoutForLoopWithGraphRecord	2000.0	3	results/runs/runID=3/classifier=ADLClassifierWithWinningLayerTrainingWithoutForLoopWithGraphRecord_adwin-delta=0.1_lr=0.05_MCICutOff=1e-05_globalGracePeriod=128/electricity_tiny	electricity_tiny
8	0.05		1e-05	0.1	256	60.6	32	6	10.909278036	ADLClassifierWithWinningLayerTrainingWithoutForLoopWithGraphRecord	2000.0	3	results/runs/runID=3/classifier=ADLClassifierWithWinningLayerTrainingWithoutForLoopWithGraphRecord_adwin-delta=0.1_lr=0.05_MCICutOff=1e-05_globalGracePeriod=256/electricity_tiny	electricity_tiny
9	0.05		1e-05	0.1	512	47.449999999999996	21	4	9.891720385	ADLClassifierWithWinningLayerTrainingWithoutForLoopWithGraphRecord	2000.0	3	results/runs/runID=3/classifier=ADLClassifierWithWinningLayerTrainingWithoutForLoopWithGraphRecord_adwin-delta=0.1_lr=0.05_MCICutOff=1e-05_globalGracePeriod=512/electricity_tiny	electricity_tiny
10	0.05		1e-05	0.1	1024	60.6	32	6	10.743840234	ADLClassifierWithWinningLayerTrainingWithoutForLoopWithGraphRecord	2000.0	3	results/runs/runID=3/classifier=ADLClassifierWithWinningLayerTrainingWithoutForLoopWithGraphRecord_adwin-delta=0.1_lr=0.05_MCICutOff=1e-05_globalGracePeriod=1024/electricity_tiny	electricity_tiny
11	0.05	1	1e-05	0.1		60.150000000000006	33	6	10.331364729	ADLClassifierWithWinningLayerTrainingWithoutForLoopWithGraphRecord	2000.0	3	results/runs/runID=3/classifier=ADLClassifierWithWinningLayerTrainingWithoutForLoopWithGraphRecord_adwin-delta=0.1_lr=0.05_MCICutOff=1e-05_gracePeriodPerLayer=1/electricity_tiny	electricity_tiny
12	0.05	2	1e-05	0.1		47.349999999999994	20	7	8.878650272	ADLClassifierWithWinningLayerTrainingWithoutForLoopWithGraphRecord	2000.0	3	results/runs/runID=3/classifier=ADLClassifierWithWinningLayerTrainingWithoutForLoopWithGraphRecord_adwin-delta=0.1_lr=0.05_MCICutOff=1e-05_gracePeriodPerLayer=2/electricity_tiny	electricity_tiny
