	learning rate	gracePeriodPerLayer	mci	adwin-delta	globalGracePeriod	accuracy	amount of hidden layers	amount of active layers	overall time	classifier	amount of instances	run id	path	stream
0	0.05		1e-07	1e-05	1	58.75	27	12	11.732674872	ADLClassifierWithWinningLayerTrainingWithoutForLoopWithGraphRecord	2000.0	7	results/runs/runID=7/classifier=ADLClassifierWithWinningLayerTrainingWithoutForLoopWithGraphRecord_adwin-delta=1e-05_lr=0.05_MCICutOff=1e-07_globalGracePeriod=1/electricity_tiny	electricity_tiny
1	0.05		1e-07	1e-05	2	61.75000000000001	28	13	12.224095131	ADLClassifierWithWinningLayerTrainingWithoutForLoopWithGraphRecord	2000.0	7	results/runs/runID=7/classifier=ADLClassifierWithWinningLayerTrainingWithoutForLoopWithGraphRecord_adwin-delta=1e-05_lr=0.05_MCICutOff=1e-07_globalGracePeriod=2/electricity_tiny	electricity_tiny
2	0.05		1e-07	1e-05	4	58.75	27	12	11.906806167	ADLClassifierWithWinningLayerTrainingWithoutForLoopWithGraphRecord	2000.0	7	results/runs/runID=7/classifier=ADLClassifierWithWinningLayerTrainingWithoutForLoopWithGraphRecord_adwin-delta=1e-05_lr=0.05_MCICutOff=1e-07_globalGracePeriod=4/electricity_tiny	electricity_tiny
3	0.05		1e-07	1e-05	8	61.75000000000001	28	13	12.492179813	ADLClassifierWithWinningLayerTrainingWithoutForLoopWithGraphRecord	2000.0	7	results/runs/runID=7/classifier=ADLClassifierWithWinningLayerTrainingWithoutForLoopWithGraphRecord_adwin-delta=1e-05_lr=0.05_MCICutOff=1e-07_globalGracePeriod=8/electricity_tiny	electricity_tiny
4	0.05		1e-07	1e-05	16	58.75	27	12	11.704759381	ADLClassifierWithWinningLayerTrainingWithoutForLoopWithGraphRecord	2000.0	7	results/runs/runID=7/classifier=ADLClassifierWithWinningLayerTrainingWithoutForLoopWithGraphRecord_adwin-delta=1e-05_lr=0.05_MCICutOff=1e-07_globalGracePeriod=16/electricity_tiny	electricity_tiny
5	0.05		1e-07	1e-05	32	61.75000000000001	28	13	13.156749177	ADLClassifierWithWinningLayerTrainingWithoutForLoopWithGraphRecord	2000.0	7	results/runs/runID=7/classifier=ADLClassifierWithWinningLayerTrainingWithoutForLoopWithGraphRecord_adwin-delta=1e-05_lr=0.05_MCICutOff=1e-07_globalGracePeriod=32/electricity_tiny	electricity_tiny
6	0.05		1e-07	1e-05	64	58.75	27	12	12.167497058	ADLClassifierWithWinningLayerTrainingWithoutForLoopWithGraphRecord	2000.0	7	results/runs/runID=7/classifier=ADLClassifierWithWinningLayerTrainingWithoutForLoopWithGraphRecord_adwin-delta=1e-05_lr=0.05_MCICutOff=1e-07_globalGracePeriod=64/electricity_tiny	electricity_tiny
7	0.05		1e-07	1e-05	128	61.75000000000001	28	13	12.382250752	ADLClassifierWithWinningLayerTrainingWithoutForLoopWithGraphRecord	2000.0	7	results/runs/runID=7/classifier=ADLClassifierWithWinningLayerTrainingWithoutForLoopWithGraphRecord_adwin-delta=1e-05_lr=0.05_MCICutOff=1e-07_globalGracePeriod=128/electricity_tiny	electricity_tiny
8	0.05		1e-07	1e-05	256	58.75	27	12	11.816318744	ADLClassifierWithWinningLayerTrainingWithoutForLoopWithGraphRecord	2000.0	7	results/runs/runID=7/classifier=ADLClassifierWithWinningLayerTrainingWithoutForLoopWithGraphRecord_adwin-delta=1e-05_lr=0.05_MCICutOff=1e-07_globalGracePeriod=256/electricity_tiny	electricity_tiny
9	0.05		1e-07	1e-05	512	61.75000000000001	28	13	12.459311826	ADLClassifierWithWinningLayerTrainingWithoutForLoopWithGraphRecord	2000.0	7	results/runs/runID=7/classifier=ADLClassifierWithWinningLayerTrainingWithoutForLoopWithGraphRecord_adwin-delta=1e-05_lr=0.05_MCICutOff=1e-07_globalGracePeriod=512/electricity_tiny	electricity_tiny
